"from","to","weight"
"A Crew Member","Alex",1
"A Crew Member","Chandler",1
"A Crew Member","Joey",1
"A Crew Member","The Director",1
"A Drunken Gambler","Chandler",1
"A Drunken Gambler","Drunken Gambler",1
"A Drunken Gambler","Monica",1
"A Drunken Gambler","The Croupier",1
"A Female Student","Monica",1
"A Female Student","Phoebe",1
"A Student","Rachel",1
"A Student","Ross",1
"A Waiter","Joey",1
"A Waiter","Monica",1
"A Waiter","The Waiter",1
"A Waiter in Drag","Chandler",1
"A Waiter in Drag","Helena",1
"A Waiter in Drag","Monica",1
"A Waiter in Drag","Waiter in Drag",1
"Airline Employee","Chandler",1
"Airline Employee","Monica",1
"Alan","Chandler",1
"Alan","Joey",1
"Alan","Monica",2
"Alan","Phoebe",1
"Alan","Rachel",1
"Alan","Ross",1
"Alex","Chandler",1
"Alex","Joey",1
"Alex","The Director",1
"Alice","Chandler",4
"Alice","Dan",1
"Alice","Dr. Harad",1
"Alice","Dr. Zane",1
"Alice","Frank",7
"Alice","Joey",3
"Alice","Joey's Doctor",1
"Alice","Monica",4
"Alice","Phoebe",9
"Alice","Phoebe Sr",1
"Alice","Rachel",4
"Alice","Ross",2
"Amanda","Ross",1
"Anchorwoman","Chandler",1
"Anchorwoman","Joey",1
"Anchorwoman","Ross",1
"Andrea","Chandler",1
"Andrea","Joey",1
"Andrea","Monica",1
"Andrea","Mr. Geller",1
"Andrea","Mrs. Geller",1
"Andrea","Mrs. Geller ",1
"Andrea","Phoebe",1
"Andrea","Rachel",1
"Andrea","Rachel ",1
"Andrea","Ross",1
"Angela","Bob",1
"Angela","Chandler",1
"Angela","Joey",3
"Angela","Monica",4
"Angela","Phoebe",1
"Angela","Rachel",1
"Angela","Ross",1
"Annabelle","Customer",1
"Annabelle","Hombre Man",3
"Annabelle","Joey",3
"Annabelle","Store Guy",1
"Another Scientist","Another Tour Guide",1
"Another Scientist","Joey",1
"Another Scientist","Older Scientist",1
"Another Scientist","Ross",1
"Another Scientist","Tour Guide",1
"Another Tour Guide","Joey",1
"Another Tour Guide","Older Scientist",1
"Another Tour Guide","Ross",1
"Another Tour Guide","Tour Guide",1
"Anxious Wedding Guest","Chandler",1
"Anxious Wedding Guest","Ross",1
"Aunt Iris","Monica",1
"Aunt Iris","Phoebe",1
"Aunt Iris","Rachel",1
"Aunt Lillian","Monica",1
"Aunt Lillian","Mr. Geller",1
"Aunt Lillian","Mrs. Geller",2
"Aunt Lillian","Nurse",1
"Aunt Lillian","Ross",2
"Aunt Lisa","Chandler",2
"Aunt Lisa","Joey",2
"Aunt Lisa","Man",2
"Aunt Lisa","Monica",2
"Aunt Lisa","Mr. Geller",2
"Aunt Lisa","Mrs. Geller",2
"Aunt Lisa","Parker",2
"Aunt Lisa","Phoebe",2
"Aunt Lisa","Rachel",2
"Aunt Lisa","Ross",2
"Aunt Lisa","Uncle Dan",1
"Aunt Lisa","Woman",2
"Aurora","Chandler",3
"Aurora","Joey",2
"Aurora","Monica",2
"Aurora","Phoebe",2
"Aurora","Rachel",1
"Aurora","Ross",2
"Ballerina","Chandler",1
"Ballerina","Cowgirl",1
"Ballerina","Eric",1
"Ballerina","Girl",1
"Ballerina","Joey",1
"Ballerina","Kids",1
"Ballerina","Mona",1
"Ballerina","Monica",1
"Ballerina","Phoebe",1
"Ballerina","Rachel",1
"Ballerina","Ross",1
"Ballerina","Ursula",1
"Bandleader","Chandler",2
"Bandleader","Dennis Phillips",2
"Bandleader","Fat Girl",1
"Bandleader","Gert",1
"Bandleader","Joey",2
"Bandleader","Little Girl",1
"Bandleader","Mona",2
"Bandleader","Monica",2
"Bandleader","Mr. Geller",1
"Bandleader","Mrs. Bing",1
"Bandleader","Phoebe",2
"Bandleader","Rachel",2
"Bandleader","Ross",2
"Bandleader","Second Girl",1
"Bank Officer","Chandler",1
"Bank Officer","Ms. Lambert",1
"Bank Officer","Ross",1
"Barry","Bernice",2
"Barry","Bobby",1
"Barry","Carol",1
"Barry","Mindy",1
"Barry","Rachel",5
"Barry","Robbie",2
"Barry","Ross",1
"Barry","Susan",1
"Bass Singer","Julio",1
"Bass Singer","Man",1
"Bass Singer","Quartet",1
"Ben","Carol",3
"Ben","Chandler",5
"Ben","Joey",4
"Ben","Monica",5
"Ben","Phoebe",7
"Ben","Rachel",9
"Ben","Ross",10
"Ben","The Teacher",1
"Bernice","Bobby",1
"Bernice","Mindy",1
"Bernice","Rachel",2
"Big Nosed Rachel","Chandler",1
"Big Nosed Rachel","Fat Monica",1
"Big Nosed Rachel","Monica",1
"Big Nosed Rachel","Mr. Geller",1
"Big Nosed Rachel","Mrs. Geller",1
"Big Nosed Rachel","Ross",1
"Blackjack Dealer","Chandler",1
"Blackjack Dealer","Joey",1
"Blackjack Dealer","Phoebe",1
"Bob","Chandler",5
"Bob","Joey",2
"Bob","Monica",1
"Bob","Mr. Franklin",2
"Bob","Phoebe",1
"Bob","Ross",1
"Bobby","Dina",2
"Bobby","Joey",2
"Bobby","Rachel",3
"Bonnie","Rachel",1
"Bonnie","Ross",1
"Both","Chandler",2
"Both","Joey",1
"Both","Monica",1
"Both","Receptionist",1
"Both","Ross",1
"Boy in the Cape","Chandler",1
"Boy in the Cape","Gunther",1
"Boy in the Cape","Joey",1
"Boy in the Cape","Kid",1
"Boy in the Cape","Monica",1
"Boy in the Cape","Rachel",1
"Brenda","Chandler",2
"Brenda","Monica",3
"Brenda","Rachel",1
"Buffay, the Vampire Layer","Chandler",1
"Buffay, the Vampire Layer","Joey",1
"Buffay, the Vampire Layer","Monica",1
"Buffay, the Vampire Layer","Phoebe",1
"Buffay, the Vampire Layer","Rachel",1
"Buffay, the Vampire Layer","Ross",1
"Buffay, the Vampire Layer","The Vampire",1
"Burt","Elizabeth",2
"Burt","Lydia",1
"Burt","Mel",1
"Burt","Ross",3
"C.H.E.E.S.E","Chandler",1
"C.H.E.E.S.E","Joey",1
"C.H.E.E.S.E","Mac",1
"C.H.E.E.S.E","Monica",1
"C.H.E.E.S.E","Phoebe",1
"C.H.E.E.S.E","Rachel",1
"C.H.E.E.S.E","Ross",1
"C.H.E.E.S.E.","Joey",2
"C.H.E.E.S.E.","The Producer",1
"C.H.E.E.S.E.","Wayne",1
"Caitlin","Chandler",3
"Caitlin","Grandma Tribbiani",1
"Caitlin","Joey",2
"Caitlin","Monica",2
"Caitlin","Phoebe",2
"Caitlin","Rachel",3
"Caitlin","Ross",3
"Carl","Rachel",1
"Carl","Ross",1
"Carol","Chandler",8
"Carol","Dr. Franzblau",4
"Carol","Dr. Oberman",1
"Carol","Emily",2
"Carol","Joey",9
"Carol","Kristin",1
"Carol","Marsha",1
"Carol","Monica",9
"Carol","Nurse",2
"Carol","Phoebe",7
"Carol","Rachel",10
"Carol","Raymond",1
"Carol","Robbie",1
"Carol","Ross",29
"Carol","Susan",17
"Carol","The Casting Director",2
"Casey","Chandler",1
"Casey","Joey",1
"Cashier","Rachel",1
"Cashier","Ross",1
"Casting Director #1","Joey",1
"Casting Director #2","Joey",1
"Casting Director #3","Joey",1
"Celia","Ross",2
"Chandler","Claudia",1
"Chandler","Cookie",2
"Chandler","Cop",1
"Chandler","Cowgirl",1
"Chandler","Customer",1
"Chandler","Cynthia",1
"Chandler","Dan",3
"Chandler","Dana",2
"Chandler","Danny",2
"Chandler","David",2
"Chandler","Delivery Room Nurse",1
"Chandler","Dennis Phillips",2
"Chandler","Dick Clark",1
"Chandler","Don",2
"Chandler","Doug",6
"Chandler","Dr. Baldhara",1
"Chandler","Dr. Franzblau",2
"Chandler","Dr. Harad",4
"Chandler","Drew",1
"Chandler","Drunken Gambler",2
"Chandler","Eldad",1
"Chandler","Elizabeth",2
"Chandler","Emeril",1
"Chandler","Emily",10
"Chandler","Eric",3
"Chandler","Estelle",2
"Chandler","Everyone",1
"Chandler","Fat Girl",1
"Chandler","Fat Monica",2
"Chandler","Fireman #1",1
"Chandler","Frank",7
"Chandler","Frank Sr.",1
"Chandler","Friend No. 1",2
"Chandler","Friend No. 2",2
"Chandler","Front Desk Clerk",2
"Chandler","Fun Bobby",1
"Chandler","Gary",14
"Chandler","Gavin",1
"Chandler","Gerston",1
"Chandler","Gert",1
"Chandler","Ginger",3
"Chandler","Girl",1
"Chandler","Girls",1
"Chandler","Grandma Tribbiani",2
"Chandler","Gunther",25
"Chandler","Guru Saj",1
"Chandler","Guy",2
"Chandler","Guys",2
"Chandler","Gym Employee",1
"Chandler","Helena",3
"Chandler","Her Friends",1
"Chandler","Hooker",2
"Chandler","Host",1
"Chandler","Hotel Clerk",1
"Chandler","Hums While He Pees",1
"Chandler","Interviewer",1
"Chandler","Jake",1
"Chandler","Janice",23
"Chandler","Janine",9
"Chandler","Jay Leno",1
"Chandler","Jill",8
"Chandler","Joanna",2
"Chandler","Joanne",1
"Chandler","Joey",610
"Chandler","Joey's Doctor",1
"Chandler","Joeys Grandmother",1
"Chandler","Joeys Sister",1
"Chandler","Joeys Sisters",2
"Chandler","Joshua",3
"Chandler","Julie",3
"Chandler","Kara",3
"Chandler","Kathy",12
"Chandler","Kathy's Co-Star",1
"Chandler","Katie",1
"Chandler","Ken",1
"Chandler","Kid",1
"Chandler","Kids",1
"Chandler","Kim",1
"Chandler","Kori",1
"Chandler","Krista",1
"Chandler","Kristen",1
"Chandler","Leslie",1
"Chandler","Lisa",1
"Chandler","Little Girl",1
"Chandler","Lorraine",2
"Chandler","Lowell",1
"Chandler","Lowell ",1
"Chandler","Luisa",1
"Chandler","Lydia",1
"Chandler","Mac",1
"Chandler","Maitre d'",1
"Chandler","Male Jeweler",1
"Chandler","Man",3
"Chandler","Man At The Wedding",1
"Chandler","Margha",2
"Chandler","Mary-Angela",1
"Chandler","Mary-Theresa",1
"Chandler","Matire'd",1
"Chandler","Matress King",1
"Chandler","Max",3
"Chandler","Melanie",1
"Chandler","Mike",3
"Chandler","Minister",1
"Chandler","Molly",3
"Chandler","Mona",5
"Chandler","Monica",614
"Chandler","Mr. Bing",2
"Chandler","Mr. Franklin",2
"Chandler","Mr. Geller",26
"Chandler","Mr. Heckles",2
"Chandler","Mr. Treeger",1
"Chandler","Mr. Tribbiani",3
"Chandler","Mr. Waltham",2
"Chandler","Mrs. Bing",6
"Chandler","Mrs. Geller",19
"Chandler","Mrs. Geller ",1
"Chandler","Mrs. Tedlock",1
"Chandler","Mrs. Waltham",2
"Chandler","Ms. Lambert",1
"Chandler","Ms. McKenna",3
"Chandler","Nurse",4
"Chandler","Others",2
"Chandler","Paolo",2
"Chandler","Parker",3
"Chandler","Patrick",1
"Chandler","Paul",5
"Chandler","Pete",4
"Chandler","Pete's Mom",1
"Chandler","Peter",1
"Chandler","Petrie",1
"Chandler","Phoebe",484
"Chandler","Phoebe Sr.",1
"Chandler","Photographer",2
"Chandler","Rachel",459
"Chandler","Rachel ",1
"Chandler","Receptionist",2
"Chandler","Richard",3
