"from","to","weight"
"a Casino Boss","a Drunken Gambler",1
"a Casino Boss","a Tourist",1
"a Casino Boss","Blackjack Dealer",1
"a Casino Boss","Chandler",1
"a Casino Boss","Drunken Gambler",1
"a Casino Boss","Guy",1
"a Casino Boss","Joey",1
"a Casino Boss","Joey's Hand Twin",1
"a Casino Boss","Monica",1
"a Casino Boss","New Scene",1
"a Casino Boss","Phoebe",1
"a Casino Boss","Rachel",1
"a Casino Boss","Ross",1
"a Casino Boss","The Croupier",1
"a Casino Boss","The Lurker",1
"a Casino Boss","The Security Guard",1
"a Casino Boss","The Woman Dealer",1
"a Crew Member","a Student",1
"a Crew Member","Alex",1
"a Crew Member","Casting Director #1",1
"a Crew Member","Casting Director #2",1
"a Crew Member","Casting Director #3",1
"a Crew Member","Chandler",1
"a Crew Member","Estelle",1
"a Crew Member","Joey",1
"a Crew Member","Monica",1
"a Crew Member","New Scene",1
"a Crew Member","Phoebe",1
"a Crew Member","Rachel",1
"a Crew Member","Ross",1
"a Crew Member","Russell",1
"a Crew Member","The Director",1
"a Crew Member","The Professor",1
"a Disembodied Voice","Chandler",1
"a Disembodied Voice","Joey",1
"a Disembodied Voice","Monica",1
"a Disembodied Voice","New Scene",1
"a Disembodied Voice","Phoebe",1
"a Disembodied Voice","Rachel",1
"a Disembodied Voice","Ross",1
"a Disembodied Voice","Smoke Detector",1
"a Disembodied Voice","Tag",1
"a Disembodied Voice","The Fireman",1
"a Drunken Gambler","a Tourist",1
"a Drunken Gambler","Blackjack Dealer",1
"a Drunken Gambler","Chandler",1
"a Drunken Gambler","Drunken Gambler",1
"a Drunken Gambler","Guy",1
"a Drunken Gambler","Joey",1
"a Drunken Gambler","Joey's Hand Twin",1
"a Drunken Gambler","Monica",1
"a Drunken Gambler","New Scene",1
"a Drunken Gambler","Phoebe",1
"a Drunken Gambler","Rachel",1
"a Drunken Gambler","Ross",1
"a Drunken Gambler","The Croupier",1
"a Drunken Gambler","The Lurker",1
"a Drunken Gambler","The Security Guard",1
"a Drunken Gambler","The Woman Dealer",1
"a Female Student","Chandler",1
"a Female Student","Cynthia",1
"a Female Student","Dr. Leedbetter",1
"a Female Student","Joey",1
"a Female Student","Monica",1
"a Female Student","New Scene",1
"a Female Student","Phoebe",1
"a Female Student","Rachel",1
"a Female Student","Ross",1
"a Female Student","The Teacher",1
"a Male Customer","Chandler",1
"a Male Customer","Customer",1
"a Male Customer","Gunther",1
"a Male Customer","Jill",1
"a Male Customer","Joey",1
"a Male Customer","Monica",1
"a Male Customer","New Scene",1
"a Male Customer","Phoebe",1
"a Male Customer","Rachel",1
"a Male Customer","Ross",1
"a Male Customer","Woman",1
"a Student","Alex",1
"a Student","Casting Director #1",1
"a Student","Casting Director #2",1
"a Student","Casting Director #3",1
"a Student","Chandler",1
"a Student","Estelle",1
"a Student","Joey",1
"a Student","Monica",1
"a Student","New Scene",1
"a Student","Phoebe",1
"a Student","Rachel",1
"a Student","Ross",1
"a Student","Russell",1
"a Student","The Director",1
"a Student","The Professor",1
"a Tourist","Blackjack Dealer",1
"a Tourist","Chandler",1
"a Tourist","Drunken Gambler",1
"a Tourist","Guy",1
"a Tourist","Joey",1
"a Tourist","Joey's Hand Twin",1
"a Tourist","Monica",1
"a Tourist","New Scene",1
"a Tourist","Phoebe",1
"a Tourist","Rachel",1
"a Tourist","Ross",1
"a Tourist","The Croupier",1
"a Tourist","The Lurker",1
"a Tourist","The Security Guard",1
"a Tourist","The Woman Dealer",1
"a Waiter","Chandler",1
"a Waiter","Drew",1
"a Waiter","Joey",1
"a Waiter","Kitchen Worker",1
"a Waiter","Mike",1
"a Waiter","Monica",1
"a Waiter","New Scene",1
"a Waiter","Phoebe",1
"a Waiter","Rachel",1
"a Waiter","Ross",1
"a Waiter","The Conductor",1
"a Waiter","The Waiter",1
"a Waiter","Woman on Train",1
"a Waiter in Drag","Announcer",1
"a Waiter in Drag","Chandler",1
"a Waiter in Drag","Guy",1
"a Waiter in Drag","Helena",1
"a Waiter in Drag","Jake",1
"a Waiter in Drag","Joey",1
"a Waiter in Drag","Man",1
"a Waiter in Drag","Monica",1
"a Waiter in Drag","New Scene",1
"a Waiter in Drag","Phoebe",1
"a Waiter in Drag","Policeman",1
"a Waiter in Drag","Rachel",1
"a Waiter in Drag","Ross",1
"a Waiter in Drag","The Chorus Line",1
"a Waiter in Drag","Waiter in Drag",1
"a Waiter in Drag","Waitress",1
"a Waiter in Drag","Woman",1
"a Woman","Chandler",1
"a Woman","Joey",1
"a Woman","Kristen",1
"a Woman","Megan",1
"a Woman","Monica",1
"a Woman","New Scene",1
"a Woman","Phoebe",1
"a Woman","Rachel",1
"a Woman","Ross",1
"a Woman","The Woman",1
"a Woman","We Have 8",1
