"episode","scene","character"
1,1,"Monica"
1,1,"Joey"
1,1,"Chandler"
1,1,"Phoebe"
1,1,"Ross"
1,1,"Rachel"
1,1,"Waitress"
1,2,"Monica"
1,2,"Chandler"
1,2,"Ross"
1,2,"Rachel"
1,2,"Phoebe"
1,2,"Joey"
1,2,"Paul"
1,3,"Phoebe"
1,4,"Ross"
1,4,"Joey"
1,4,"Chandler"
1,5,"Monica"
1,5,"Paul"
1,6,"Rachel"
1,7,"Ross"
1,7,"Joey"
1,7,"Chandler"
1,8,"Paul"
1,8,"Monica"
1,9,"Priest on Tv"
1,9,"Rachel"
1,10,"Ross"
1,10,"Joey"
1,10,"Chandler"
1,11,"Rachel"
1,11,"Chandler"
1,11,"Joey"
1,11,"Monica"
1,11,"Paul"
1,12,"Frannie"
1,12,"Monica"
1,13,"Joey"
1,13,"Monica"
1,13,"Ross"
1,13,"Phoebe"
1,13,"Rachel"
1,13,"Chandler"
1,14,"Rachel"
1,14,"Monica"
1,14,"Phoebe"
1,14,"Ross"
1,14,"Chandler"
1,15,"Joey"
1,15,"Phoebe"
1,15,"Monica"
1,15,"Ross"
1,15,"Rachel"
1,15,"Chandler"
1,15,"Customer"
